candidate_id,yoe,current_title,current_industry,current_company,current_company_size,n_jobs,total_career_months,avg_tenure_months,current_tenure_months,n_short_stints,current_title_class,title_core_ml,title_ml_adjacent,title_swe_generic,title_non_eng,title_research,title_cv,ml_role_months,applied_ml_years,n_core_ml_jobs,evid_strong_ir,evid_med_ml,evid_weak_hype,evid_eval,evid_deploy,evid_scale,domain_nlp_ir,domain_cv,has_retrieval_evidence,has_shipped_ranking,has_eval_evidence,has_production_evidence,domain_is_cv_primary,n_services_jobs,n_product_jobs,n_ai_product_jobs,n_neutral_jobs,product_ratio,services_ratio,ever_product,all_jobs_services,ever_services_only,current_company_class,current_is_services,current_is_ai_product,earliest_ml_year,has_pre_llm_ml,ai_evidence_recent_only,location_city,location_tier,location_score,is_india,willing_to_relocate,notice_period_days,notice_score,preferred_work_mode,expected_salary_min,expected_salary_max,last_active_date,days_since_active,activity_recency_score,recruiter_response_rate,interview_completion_rate,open_to_work_flag,applications_30d,avg_response_time_hours,avail_modifier,profile_completeness_score,verified_email,verified_phone,linkedin_connected,github_activity_score,has_github,certification_count,best_edu_tier,has_ml_degree,hp_expert0,hp_skilldur_gt_career,hp_tenure_gt_career,hp_sum_overlap,hp_current_enddate,hp_edu_impossible,hp_end_before_start,hp_expert_overload,hp_senior_no_history,honeypot_flag,honeypot_reasons,gate_services_only,gate_research_only,gate_cv_primary,gate_recent_llm_only,gate_wrong_role_stuffer,semantic_fit
CAND_0000001,6.9,Backend Engineer,IT Services,Mindtree,10001+,2,82,41.0,27,0,ml_adjacent,False,True,False,False,False,False,82,6.83,0,0,1,0,0,0,1,0,0,False,False,False,False,False,1,0,0,1,0.0,0.5,False,False,True,services,True,False,2019.0,True,False,toronto,D,0.25,False,False,60,0.8,onsite,18.7,36.1,2026-05-20,7,0.971,0.34,0.71,True,2,177.8,0.9462,86.9,True,True,False,9.2,True,0,3,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,
CAND_0000002,12.5,Operations Manager,IT Services,Wipro,10001+,4,149,37.25,43,1,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,1,0,1,0,1,0,False,False,False,True,False,2,0,0,2,0.0,0.5,False,False,True,services,True,False,,False,True,chennai,C,0.6,True,False,60,0.8,flexible,8.8,9.0,2025-11-12,196,0.183,0.29,0.62,True,1,171.6,0.7348,78.7,False,False,False,,False,0,4,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000003,1.1,Customer Support,IT Services,TCS,10001+,1,13,13.0,13,1,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1,0,0,0,0.0,1.0,False,True,True,services,True,False,,False,False,austin,D,0.25,False,False,150,0.2,hybrid,11.2,18.1,2026-03-21,67,0.721,0.46,0.86,False,9,119.4,0.8152,31.9,True,False,False,,False,0,3,True,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,True,
CAND_0000004,3.8,Marketing Manager,Paper Products,Dunder Mifflin,201-500,3,44,14.666666666666666,14,2,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,1,0,1,0,1,0,False,False,False,True,False,1,0,0,2,0.0,0.333,False,False,True,neutral,False,False,,False,True,sydney,D,0.25,False,True,120,0.4,onsite,4.6,6.7,2026-03-25,63,0.738,0.26,0.35,False,9,104.1,0.7539,28.5,True,True,True,,False,2,3,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000005,11.0,Accountant,Manufacturing,Stark Industries,1001-5000,4,130,32.5,52,1,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,2,0,0,2,0.0,0.5,False,False,True,neutral,False,False,,False,False,gurgaon,B,0.85,True,True,30,1.0,hybrid,12.4,19.7,2025-10-01,238,0.008,0.37,0.74,True,2,116.7,0.7131,84.6,False,True,True,,False,0,3,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000006,6.0,Business Analyst,Conglomerate,Wayne Enterprises,10001+,2,71,35.5,33,0,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0,0,0,2,0.0,0.0,False,False,False,neutral,False,False,,False,False,austin,D,0.25,False,True,150,0.2,remote,7.7,11.7,2026-02-28,88,0.633,0.12,0.57,False,8,172.1,0.7108,29.7,True,True,False,,False,0,3,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000007,5.5,Civil Engineer,IT Services,Wipro,10001+,2,65,32.5,38,0,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,1,0,0,1,0.0,0.5,False,False,True,services,True,False,,False,False,gurgaon,B,0.85,True,True,30,1.0,onsite,6.7,14.6,2026-05-25,2,0.992,0.62,0.47,False,1,61.3,0.8954,74.6,True,True,True,,False,0,2,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000008,3.6,Operations Manager,IT Services,Wipro,10001+,1,43,43.0,43,0,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1,0,0,0,0.0,1.0,False,True,True,services,True,False,,False,False,noida,A,1.0,True,False,90,0.6,onsite,6.6,17.2,2025-12-13,165,0.312,0.42,0.74,False,5,98.4,0.6991,63.0,True,False,False,,False,1,2,True,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,
CAND_0000009,11.0,Mechanical Engineer,Paper Products,Dunder Mifflin,201-500,4,131,32.75,44,0,non_eng,False,False,False,True,False,False,0,0.0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,1,0,0,3,0.0,0.25,False,False,True,neutral,False,False,,False,False,new york,D,0.25,False,False,150,0.2,remote,16.0,7.3,2026-01-27,120,0.5,0.53,0.54,False,8,202.0,0.758,39.6,True,True,False,,False,0,3,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,
CAND_0000010,4.6,Data Engineer,Transportation,Ola,5001-10000,1,55,55.0,55,0,ml_adjacent,False,True,False,False,False,False,55,4.58,0,0,3,0,0,1,0,0,0,False,False,False,True,False,0,1,0,0,1.0,0.0,True,False,False,product,False,False,2021.0,False,False,london,D,0.25,False,False,120,0.4,hybrid,13.0,32.0,2026-04-29,28,0.883,0.4,0.53,False,13,19.0,0.8273,81.6,True,True,False,33.7,True,0,4,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,
