candidate_id,stratum,current_title,current_company,current_company_class,yoe,applied_ml_years,evid_strong_ir,evid_weak_hype,semantic_fit,avail_modifier,location_tier,honeypot_flag,human_tier,notes
CAND_0029367,A_ideal_T5ish,Senior Data Scientist,Rephrase.ai,ai_product,5.7,5.58,9,3,0.99805,1.0257,C,False,,
CAND_0053527,A_ideal_T5ish,Junior ML Engineer,PhonePe,product,7.0,6.83,5,0,0.99581,1.0515,C,False,,
CAND_0079064,A_ideal_T5ish,Senior Data Scientist,Niramai,ai_product,5.2,5.17,8,3,0.99898,1.0327,A,False,,
CAND_0099751,A_ideal_T5ish,Junior ML Engineer,Observe.AI,ai_product,5.5,5.42,6,1,0.99868,0.979,C,False,,
CAND_0041610,A_ideal_T5ish,Recommendation Systems Engineer,Zoho,product,6.7,6.58,4,3,0.99967,0.9805,C,False,,
CAND_0068932,A_ideal_T5ish,ML Engineer,Krutrim,ai_product,5.2,3.75,6,1,0.99824,1.045,A,False,,
CAND_0066376,A_ideal_T5ish,Applied ML Engineer,Dream11,product,5.7,5.58,8,0,0.9993,0.9655,B,False,,
CAND_0073504,A_ideal_T5ish,Junior ML Engineer,PolicyBazaar,product,6.6,6.5,5,0,0.99668,0.9922,B,False,,
CAND_0050454,A_ideal_T5ish,AI Engineer,Rephrase.ai,ai_product,6.8,6.75,7,0,0.99963,1.0088,B,False,,
CAND_0043860,A_ideal_T5ish,Junior ML Engineer,Aganitha,ai_product,6.1,6.08,6,2,0.99605,1.058,C,False,,
CAND_0026362,A_ideal_T5ish,Data Scientist,PhonePe,product,5.0,4.92,6,1,0.9971,0.9601,B,False,,
CAND_0049615,A_ideal_T5ish,ML Engineer,Krutrim,ai_product,5.1,5.08,6,1,0.99845,0.925,C,False,,
CAND_0098846,A_ideal_T5ish,AI Engineer,upGrad,product,7.6,7.5,5,3,0.99872,0.9786,C,False,,
CAND_0093912,A_ideal_T5ish,Senior Data Scientist,Razorpay,product,5.3,5.17,7,1,0.99956,1.0133,C,False,,
CAND_0036184,A_ideal_T5ish,Recommendation Systems Engineer,CRED,product,6.0,5.92,6,0,0.99909,1.06,C,False,,
CAND_0040117,A_ideal_T5ish,Recommendation Systems Engineer,PhonePe,product,6.5,6.42,5,3,0.99926,0.944,C,False,,
CAND_0060315,A_ideal_T5ish,Senior Software Engineer (ML),Glance,ai_product,5.4,5.25,6,2,0.99635,0.9315,C,False,,
CAND_0059795,A_ideal_T5ish,Senior Software Engineer (ML),Locobuzz,ai_product,5.6,5.42,6,1,0.99638,0.9476,B,False,,
CAND_0039383,A_ideal_T5ish,Applied ML Engineer,Meesho,product,7.1,7.0,7,0,0.99962,0.9486,B,False,,
CAND_0048558,A_ideal_T5ish,Data Scientist,Rephrase.ai,ai_product,6.7,5.25,6,1,0.99057,1.036,A,False,,
CAND_0008295,A_ideal_T5ish,AI Research Engineer,Razorpay,product,6.5,6.42,4,1,0.99577,1.072,A,False,,
CAND_0069905,A_ideal_T5ish,Applied ML Engineer,Sarvam AI,ai_product,6.6,6.5,8,3,0.9994,1.015,C,False,,
CAND_0064130,A_ideal_T5ish,AI Research Engineer,Unacademy,product,6.7,3.67,6,1,0.99702,0.9402,C,False,,
CAND_0066035,A_ideal_T5ish,Data Scientist,Razorpay,product,6.7,6.58,6,1,0.99776,0.9568,C,False,,
CAND_0083307,A_ideal_T5ish,Search Engineer,CRED,product,7.8,7.67,8,3,0.99966,0.9617,C,False,,
CAND_0069540,B_core_some_evid,ML Engineer,BYJU'S,product,5.7,3.25,1,1,0.97054,0.859,C,False,,
CAND_0060538,B_core_some_evid,ML Engineer,Verloop.io,ai_product,5.2,5.08,1,1,0.97951,0.931,A,False,,
CAND_0098624,B_core_some_evid,Senior Software Engineer (ML),CRED,product,6.3,6.25,2,0,0.7154,0.9038,C,False,,
CAND_0028287,B_core_some_evid,Data Scientist,Unacademy,product,5.7,5.67,1,1,0.88553,0.984,C,False,,
CAND_0004131,B_core_some_evid,Junior ML Engineer,Flipkart,product,6.8,6.67,1,2,0.88286,0.8967,C,False,,
CAND_0088378,B_core_some_evid,AI Research Engineer,Yellow.ai,ai_product,6.0,5.92,2,2,0.99106,0.9067,C,False,,
CAND_0097256,B_core_some_evid,Senior Software Engineer (ML),Razorpay,product,4.0,4.0,2,1,0.98208,0.8376,D,False,,
CAND_0026993,B_core_some_evid,ML Engineer,Mad Street Den,ai_product,3.4,3.33,1,1,0.97999,0.9114,C,False,,
CAND_0099549,B_core_some_evid,Junior ML Engineer,Nykaa,product,4.3,2.58,2,2,0.96832,0.7933,C,False,,
CAND_0082910,B_core_some_evid,AI Specialist,Wysa,ai_product,4.9,4.83,2,1,0.99465,0.9368,C,False,,
CAND_0046313,B_core_some_evid,Senior Software Engineer (ML),Flipkart,product,5.8,5.75,1,2,0.82185,0.8956,D,False,,
CAND_0030946,B_core_some_evid,Junior ML Engineer,Yellow.ai,ai_product,6.7,6.58,2,1,0.90999,0.9339,B,False,,
CAND_0089947,B_core_some_evid,Junior ML Engineer,Saarthi.ai,ai_product,5.4,2.83,1,1,0.95053,0.8997,A,False,,
CAND_0018888,B_core_some_evid,AI Research Engineer,Razorpay,product,6.5,4.0,3,1,0.99415,0.9085,A,False,,
CAND_0074765,B_core_some_evid,Data Scientist,Sarvam AI,ai_product,3.1,3.08,2,1,0.9952,0.8472,C,False,,
CAND_0065430,B_core_some_evid,ML Engineer,Mad Street Den,ai_product,4.4,4.33,2,1,0.99523,1.0032,B,False,,
CAND_0075715,B_core_some_evid,Data Scientist,Sarvam AI,ai_product,3.5,3.5,3,1,0.99476,1.0152,C,False,,
CAND_0066777,B_core_some_evid,Junior ML Engineer,Paytm,product,3.6,3.5,1,1,0.75091,0.8232,B,False,,
CAND_0060072,C_strong_but_inactive,Staff Machine Learning Engineer,Amazon,product,5.7,5.67,7,2,0.9988,0.6914,C,False,,
CAND_0041611,C_strong_but_inactive,Staff Machine Learning Engineer,Locobuzz,ai_product,6.4,6.25,7,2,0.99972,0.6157,D,False,,
CAND_0007411,C_strong_but_inactive,Senior Machine Learning Engineer,Amazon,product,8.0,7.92,6,1,0.99807,0.6307,C,False,,
CAND_0092278,C_strong_but_inactive,Senior NLP Engineer,Microsoft,product,6.8,6.67,10,2,0.99902,0.5936,A,False,,
CAND_0045910,D_ml_adjacent_transition,Backend Engineer,Freshworks,product,2.3,2.25,0,0,0.83339,0.8053,C,False,,
CAND_0026110,D_ml_adjacent_transition,Data Engineer,CRED,product,3.6,1.58,0,0,0.77513,0.8147,A,False,,
CAND_0029985,D_ml_adjacent_transition,Data Engineer,Cognizant,services,4.0,3.17,0,0,0.80999,0.8061,D,False,,
CAND_0071457,D_ml_adjacent_transition,Analytics Engineer,Zoho,product,7.3,4.75,0,0,0.68997,0.9045,C,False,,
CAND_0066416,D_ml_adjacent_transition,Data Engineer,HCL,services,7.6,7.5,0,0,0.78012,0.8417,C,False,,
CAND_0035212,D_ml_adjacent_transition,Analytics Engineer,Nykaa,product,3.0,3.0,0,0,0.66978,0.8009,C,False,,
CAND_0091578,D_ml_adjacent_transition,Analytics Engineer,Vedantu,product,6.7,6.67,0,0,0.93919,0.8826,C,False,,
CAND_0076209,D_ml_adjacent_transition,Senior Data Engineer,CRED,product,2.4,2.33,0,0,0.941285,0.8699,B,False,,
CAND_0076633,D_ml_adjacent_transition,Backend Engineer,Globex Inc,neutral,3.1,3.08,0,0,0.73675,0.8718,C,False,,
CAND_0088773,D_ml_adjacent_transition,Data Analyst,Wayne Enterprises,neutral,2.8,1.17,0,0,0.80274,0.8599,B,False,,
CAND_0009307,D_ml_adjacent_transition,Data Engineer,Zomato,product,3.3,3.25,0,0,0.96124,0.9878,A,False,,
CAND_0091192,D_ml_adjacent_transition,Backend Engineer,Dunder Mifflin,neutral,6.1,6.0,0,0,0.93497,0.9178,D,False,,
CAND_0065182,D_ml_adjacent_transition,Senior Data Engineer,Paytm,product,5.6,2.17,0,0,0.71746,0.8829,B,False,,
CAND_0012363,D_ml_adjacent_transition,Senior Data Engineer,Initech,neutral,7.2,7.08,0,0,0.83318,0.9403,C,False,,
CAND_0081830,D_ml_adjacent_transition,Data Engineer,Tech Mahindra,services,3.8,1.17,0,0,0.76171,0.8325,D,False,,
CAND_0070453,D_ml_adjacent_transition,Backend Engineer,upGrad,product,5.4,4.33,0,0,0.89826,0.9007,B,False,,
CAND_0044168,D_ml_adjacent_transition,Senior Data Engineer,Globex Inc,neutral,5.9,5.83,0,0,0.780755,0.9339,B,False,,
CAND_0061969,D_ml_adjacent_transition,Senior Data Engineer,Swiggy,product,6.7,6.67,0,0,0.94013,0.9686,A,False,,
CAND_0088035,D_ml_adjacent_transition,Data Analyst,CRED,product,4.9,4.83,0,0,0.62572,0.8458,B,False,,
CAND_0018161,D_ml_adjacent_transition,Backend Engineer,Accenture,services,7.0,6.83,0,0,0.90008,1.0075,C,False,,
CAND_0057732,E_swe_llm_hype,Java Developer,Initech,neutral,2.5,0.0,0,2,0.234715,0.8276,C,False,,
CAND_0010438,E_swe_llm_hype,Full Stack Developer,Mphasis,services,2.8,0.0,0,2,0.305305,0.6549,C,False,,
CAND_0017388,E_swe_llm_hype,Software Engineer,Wipro,services,7.7,0.0,0,2,0.50925,0.9245,D,False,,
CAND_0008366,E_swe_llm_hype,QA Engineer,Tech Mahindra,services,3.6,0.0,0,2,0.22259,0.9972,C,False,,
